"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"South Africa","ZAF","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","1.6","0.7","1.9","","","","","","","",
"South Africa","ZAF","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","","2.6","2.8","3.6","","","","","","","",
"South Africa","ZAF","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.33","21.64","23.4","24.37","25.25","25.04","25.65","24.63","24.17","23.18","25.69","23.91","26.99","28.61","31.43","33.08","31.36","29.11","30.94","32.65","34.03","35.4","","","",
"South Africa","ZAF","Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)","SH.STA.STNT.ME.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","29.1","29.1","29.1","29","28.9","28.5","27.9","27.1","26.3","25.6","25","24.7","24.7","24.7","24.7","24.7","24.6","24.6","24.7","25","25.5","26.1","26.5","27",
"South Africa","ZAF","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.6111773836625","55.4199792782343","56.2414424634707","57.0645403427261","57.8836341852744","58.6977764837061","59.5073576380224","60.3122178673262","61.1124307851869","61.9069524755749","62.6963401430547","63.4802489900357","64.2587388681571","65.031145722662","65.7979116020598","66.5587380150307","67.3135146978376","68.0620073600731","68.8041343213593","69.5398346793273","70.2691356059849","70.9917679637855","71.7077038565922","","",
"South Africa","ZAF","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","SH.STA.POIS.P5.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","1.04","1.16","1.26","1.25","1.18","1.23","1.28","1.6","1.59","1.94","1.84","1.7","1.65","1.67","1.62","1.5","1.38","1.38","1.41","1.44","1.56","","","",
"South Africa","ZAF","Prevalence of overweight, weight for height, male (modeled estimate, % of children under 5)","SH.STA.OWGH.ME.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12.2","12.4","12.5","12.6","12.7","12.9","13","13.2","13.4","13.6","13.8","13.9","14","14","14.1","14.1","14.1","14.1","14.1","14","13.9","13.8","13.7","13.6",
"South Africa","ZAF","Diarrhea treatment (% of children under 5 who received ORS packet)","SH.STA.ORTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.2","","","","","","40","","","","","","","","","","","","51.4","","","","","","","","",
"South Africa","ZAF","People practicing open defecation, rural (% of rural population)","SH.STA.ODFC.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5570306439295","23.3302260527835","22.1034214616375","20.8766168704915","19.649812279346","18.4230076882","17.196203097054","15.969398505908","14.7425939147624","13.5157893236165","12.2889847324704","11.0621801413245","9.83537555017892","8.60857095903293","7.38176636788694","6.15496177674095","4.92815718559541","3.70135259444942","2.47454800330343","1.24774341215789","0.0209388210118959","0","0","","",
"South Africa","ZAF","Prevalence of underweight, weight for age, male (% of children under 5)","SH.STA.MALN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","","","","","","5.7","6.7","6","","","","","","","",
